Member1,Material1,Section1,Area1,Orientation1,Member2,Material2,Section2,Area2,Orientation2,Angle,Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Output
195.0,355.0,I,131.0,X,175.0,275.0,H,11.0,Z,90.0,-8.15,0.0,0.19,0.0,-0.54,0.0,-0.94,0.0,0.22,0.0,0.0,0.0,1.0
175.0,275.0,H,11.0,X,206.0,235.0,S,15.0,XZ,34.992020198558656,-0.94,0.0,-0.22,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,7.0
175.0,275.0,H,11.0,X,207.0,235.0,S,15.0,XZ,34.992020198558656,-0.94,0.0,0.22,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
190.0,355.0,I,112.0,X,176.0,275.0,H,11.0,Z,90.0,-44.76,0.0,0.22,0.0,-0.41,0.0,-1.08,0.0,0.22,0.0,0.0,0.0,1.0
196.0,355.0,I,131.0,X,176.0,275.0,H,11.0,Z,90.0,-7.43,-0.02,0.09,0.0,-0.25,0.0,-1.08,0.0,-0.22,0.0,0.0,-0.02,1.0
176.0,275.0,H,11.0,X,204.0,235.0,S,15.0,XZ,34.992020198558656,-1.08,0.0,-0.22,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
176.0,275.0,H,11.0,X,205.0,235.0,S,15.0,XZ,34.992020198558656,-1.08,0.0,0.22,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,7.0
184.0,355.0,I,112.0,X,177.0,275.0,H,11.0,Z,90.0,-39.78,0.0,0.15,0.0,-0.12,0.0,-0.93,0.0,-0.22,0.0,0.0,0.0,1.0
196.0,355.0,I,131.0,X,177.0,275.0,H,11.0,Z,90.0,-7.43,-0.02,0.09,0.0,-0.25,0.0,-0.93,0.0,0.22,0.0,0.0,-0.02,1.0
177.0,275.0,H,11.0,X,202.0,235.0,S,15.0,XZ,34.992020198558656,-0.93,0.0,-0.22,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,7.0
177.0,275.0,H,11.0,X,203.0,235.0,S,15.0,XZ,34.992020198558656,-0.93,0.0,0.22,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
191.0,355.0,I,112.0,X,178.0,235.0,I,46.0,Z,90.00000000000006,-42.88,0.05,0.28,0.0,-0.63,0.0,0.44,0.0,4.57,0.0,0.0,0.04,10.0
201.0,235.0,S,27.0,X,178.0,235.0,I,46.0,XZ,34.992020198558706,1.0,1.0,1.0,1.0,1.0,0.0,0.44,0.0,4.57,0.0,0.0,1.0,7.0
